gene_id_x,transcript_id,L01_fpkm,L02_fpkm,L03_fpkm,L04_fpkm,L05_fpkm,L06_fpkm,L07_fpkm,L08_fpkm,L09_fpkm,transcript_type,known_or_novel,gene_id_y,class_code
XLOC_000068,TCONS_00000173,1.297712,1.20994,1.4030639999999999,1.105436,7.4225270000000005,1.47624,1.5713190000000001,1.553158,2.489531,protein_coding,known,LOC100264718,equal
XLOC_000069,TCONS_00000175,12.616714,13.668106,13.194598999999998,16.274776,8.482305,14.49143,12.279102,11.962232,11.616037,protein_coding,known,LOC109122935,equal
XLOC_000072,TCONS_00000180,2.9551060000000002,5.407136,5.607801,0.719925,0.467071,2.09234,0.582108,0.68123,0.357959,protein_coding,novel,no_gene_id,u
XLOC_000072,TCONS_00000182,2.616634,1.110535,0.811298,0.591792,0.60355,3.011349,0.563747,0.979794,0.604984,protein_coding,novel,no_gene_id,u
XLOC_000073,TCONS_00000183,6.362103,5.219574,5.900446,6.831917999999999,8.314955,9.519286,8.902854,10.144714,9.700534,protein_coding,known,LOC100252601,equal
XLOC_000074,TCONS_00000184,17.711288,18.043205,18.571892000000002,19.415522,19.714126999999998,19.248568,19.148167,19.227175,18.372612,protein_coding,known,LOC100247494,equal
XLOC_000075,TCONS_00000185,6.794007000000001,6.881792999999999,7.539541000000001,7.992655,7.207774000000001,7.886007000000001,7.198358,7.435693,7.864939,protein_coding,known,LOC100266199,equal
XLOC_000075,TCONS_00000186,1.8403009999999997,1.236688,2.17069,2.521377,2.4878080000000002,1.538206,1.8470799999999998,2.5530720000000002,1.5236239999999999,protein_coding,known,LOC100266199,equal
XLOC_000078,TCONS_00000190,5.859301,0.908976,0.352595,1.711659,6.693339,0.120425,0.017922,0.027056999999999998,4.709728,protein_coding,known,LOC100262788,equal
XLOC_000079,TCONS_00000191,11.404728,10.820435,13.480110999999999,12.437165,12.167233999999999,11.874607000000001,15.200823000000002,12.712749,12.510900999999999,protein_coding,known,LOC100242357,equal
XLOC_000080,TCONS_00000196,1.1284100000000001,1.248712,0.795403,0.737152,0.707703,1.119564,0.9923549999999999,1.280325,1.179188,protein_coding,novel,no_gene_id,o
XLOC_000080,TCONS_00000207,1.40139,1.43222,1.657425,1.5115180000000001,1.3484049999999999,1.272039,1.419101,1.7456720000000001,1.9086889999999999,protein_coding,known,LOC109123055,equal
XLOC_000081,TCONS_00000208,7.7239,6.108206,7.139457000000001,8.794271,9.734465,9.45964,9.581275999999999,9.306426,9.055041000000001,protein_coding,known,LOC100252664,equal
XLOC_000082,TCONS_00000209,1.0249,1.000515,1.095603,1.6052110000000002,1.3750040000000001,1.3467799999999999,1.397404,1.419551,1.313334,protein_coding,known,LOC100853109,equal
XLOC_000083,TCONS_00000211,2.544692,3.7127879999999998,1.732966,1.039938,4.251905000000001,0.672247,4.13553,4.056426999999999,1.7692970000000001,protein_coding,known,LOC100264713,equal
XLOC_000083,TCONS_00000212,3.803959,3.205177,1.9050799999999999,1.2208729999999999,3.9953529999999997,0.829467,3.6480839999999994,3.437354,1.8706080000000003,protein_coding,known,LOC100264713,equal
XLOC_000084,TCONS_00000213,7.224542,7.262836999999999,7.648496000000001,7.239603,7.366528,7.555078999999999,7.554917,8.366475999999999,8.941312,protein_coding,known,LOC100264641,equal
XLOC_000088,TCONS_00000217,1.119903,1.2328569999999999,0.8290780000000001,1.432557,1.0492569999999999,0.72583,1.371107,0.6947399999999999,1.02918,protein_coding,known,LOC100249022,equal
XLOC_000091,TCONS_00000220,0.9024209999999999,1.252652,0.8836129999999999,1.351715,0.0,1.8769150000000001,0.668818,1.625178,1.4544549999999998,protein_coding,known,LOC100261218,equal
XLOC_000091,TCONS_00000221,1.587699,1.791707,1.49688,2.34626,2.287184,0.0754,0.565887,1.003164,0.411704,protein_coding,known,LOC100261218,equal
XLOC_000099,TCONS_00000231,12.08042,4.847071,12.395064,4.063663,5.076035,7.3122039999999995,16.834267,17.677517,4.551486,protein_coding,known,LOC100256047,equal
XLOC_000101,TCONS_00000233,0.787525,4.443729,4.636226000000001,5.050394,4.719494,4.078812,0.20694099999999999,1.1816360000000001,4.064086,protein_coding,known,LOC100854962,equal
XLOC_000103,TCONS_00000234,71.522583,68.246353,68.12149000000001,71.15409100000001,67.745148,75.198936,76.428467,73.703804,71.948181,protein_coding,known,LOC100242423,equal
XLOC_000103,TCONS_00000235,33.31805,36.949290999999995,30.935402000000003,36.31115,38.558487,33.511044,31.252596,30.547682000000002,32.960518,protein_coding,known,LOC100242423,equal
XLOC_000105,TCONS_00000237,12.869972,12.353385000000001,12.299241,13.471617000000002,14.917229999999998,13.495622000000001,14.491403,14.412507000000002,12.374445,protein_coding,known,LOC100257583,equal
XLOC_000108,TCONS_00000239,16.45627,58.47544499999999,15.054882000000001,11.425434,59.236546,13.009101,19.256269,62.677299,15.186948000000001,protein_coding,known,LOC100247342,equal
XLOC_000111,TCONS_00000241,2.205606,2.20986,1.7888380000000002,3.284914,2.793902,2.1815860000000002,3.111611,2.911361,1.76289,protein_coding,known,LOC100255903,equal
XLOC_000112,TCONS_00000244,10.591669,3.7197730000000004,9.587399000000001,3.5553519999999996,11.442657,3.874193,10.775239,4.167078,10.175507000000001,protein_coding,known,LOC100250738,equal
XLOC_000114,TCONS_00000245,11.732574000000001,12.983342,12.877284,12.931191,13.543343,15.267301000000002,16.334372000000002,16.0312,15.148125,protein_coding,known,LOC100245605,equal
XLOC_000118,TCONS_00000250,1.828958,1.573513,1.350908,1.686003,0.9702139999999999,1.8623490000000003,1.29197,1.179339,1.426086,protein_coding,known,LOC100262776,equal
XLOC_000119,TCONS_00000251,42.595306,39.442413,42.364262,42.439696999999995,44.412857,41.580196,42.341396,41.17625,40.32938,protein_coding,known,LOC100259316,equal
XLOC_000120,TCONS_00000252,1.637987,1.382774,1.651459,1.523185,1.6230870000000002,1.59226,1.084648,1.46351,1.268785,protein_coding,novel,no_gene_id,x
XLOC_000121,TCONS_00000253,3.309471,2.986126,3.8562879999999997,3.588886,4.191841,3.222802,4.404305,3.901035,4.2392650000000005,protein_coding,known,LOC100257653,equal
XLOC_000122,TCONS_00000254,7.429524000000001,1.8577139999999999,7.604007000000001,7.473628999999999,6.443784,7.289406,8.068868,8.757603,3.4510949999999996,protein_coding,known,LOC100254202,equal
XLOC_000123,TCONS_00000256,11.107731,8.794884,5.104623999999999,2.9803290000000002,9.892747,1.7975720000000002,0.027556999999999998,0.009478,12.83615,protein_coding,known,LOC100249093,equal
XLOC_000124,TCONS_00000257,1.7027860000000001,2.1859830000000002,1.513058,1.6961689999999998,1.935703,1.7297790000000002,2.759604,2.137889,2.174209,protein_coding,known,LOC100252517,equal
XLOC_000129,TCONS_00000265,3.989864,2.674373,3.5867660000000003,3.8749870000000004,4.004283999999999,3.739985,2.876949,1.934553,2.21221,protein_coding,known,LOC100250897,equal
XLOC_000135,TCONS_00000272,34.38306,36.43541,35.859809999999996,44.416878000000004,43.562447,42.205616,46.094916999999995,41.063679,43.360904999999995,protein_coding,known,LOC100268002,equal
XLOC_000136,TCONS_00000273,2.5732720000000002,2.177597,2.831625,3.359871,3.7163559999999998,2.926764,4.536442,4.176291,4.090179,protein_coding,known,LOC100854077,equal
XLOC_000139,TCONS_00000274,79.561523,76.14666,81.84481,70.201881,70.940102,72.927612,90.048836,92.006683,91.724724,protein_coding,known,LOC100262851,equal
XLOC_000141,TCONS_00000276,41.188140999999995,44.826846999999994,46.790661,39.034214,34.105109999999996,36.775566,51.170959,48.673477,54.94426,protein_coding,known,LOC100252595,equal
XLOC_000143,TCONS_00000282,5.04047,2.566884,6.665061,3.6028830000000003,3.630924,3.501896,3.7945580000000003,4.0693269999999995,5.94625,protein_coding,known,LOC100242352,equal
XLOC_000143,TCONS_00000283,3.1206169999999998,2.988753,8.434549,2.5392669999999997,1.867543,1.46363,4.984808,7.864225,1.4297520000000001,protein_coding,known,LOC100242352,equal
XLOC_000143,TCONS_00000285,1.9741220000000002,3.4796099999999996,2.3486740000000004,4.193766,4.920063,7.245674,3.871318,4.4065449999999995,3.7515910000000003,protein_coding,known,LOC100242352,equal
XLOC_000143,TCONS_00000286,0.28581100000000004,1.3340290000000001,0.543838,1.8468779999999998,1.6056840000000001,2.2653950000000003,2.390784,1.436704,0.70355,protein_coding,known,LOC100242352,equal
XLOC_000143,TCONS_00000287,1.9977490000000002,1.455267,0.118832,1.764514,1.36395,0.7060310000000001,0.081928,0.138317,1.451777,protein_coding,known,LOC100242352,equal
XLOC_000143,TCONS_00000288,2.2646349999999997,1.6407740000000002,0.080693,1.666333,1.33179,1.059974,0.19634400000000002,0.22479200000000002,1.585488,protein_coding,known,LOC100242352,equal
XLOC_000146,TCONS_00000291,1.365407,1.468976,1.316099,0.909905,1.36307,0.9619200000000001,2.298032,2.807587,1.97627,protein_coding,known,LOC104878994,equal
XLOC_000147,TCONS_00000292,5.93508,4.661062,6.533294000000001,5.705878,5.669414,4.731078,6.451890000000001,6.2078940000000005,6.993219,protein_coding,known,LOC104878992,equal
XLOC_000148,TCONS_00000293,131.78729199999998,137.04089399999998,138.316086,123.297752,124.0625,124.08253500000001,134.091431,142.301773,145.30827299999999,protein_coding,known,LOC100259458,equal
XLOC_000150,TCONS_00000295,3.6143050000000003,5.200995,4.307925,2.67247,3.138282,3.118809,5.851334,5.356491,3.598247,protein_coding,known,LOC100266180,equal
XLOC_000152,TCONS_00000303,10.379786,10.858948,11.242874,12.126778,11.381927000000001,12.472611,10.086328,11.027014,10.12509,protein_coding,known,LOC100254346,equal
XLOC_000157,TCONS_00000306,95.543526,97.955917,104.422752,88.622955,92.813744,95.82843000000001,119.24587199999999,111.459557,114.59391000000001,protein_coding,known,GS,equal
XLOC_000159,TCONS_00000309,1.4150530000000001,1.51615,1.5709030000000002,1.34769,1.779871,1.7366400000000002,1.8356729999999999,1.74385,1.587909,protein_coding,known,LOC100247403,equal
XLOC_000161,TCONS_00000310,2.848664,2.638417,3.4447019999999995,2.8717799999999998,2.387414,2.318437,2.3387849999999997,2.358861,2.424084,lncRNA,novel,no_gene_id,u
XLOC_000165,TCONS_00000316,4.755625,4.007308,4.130234,3.8080550000000004,3.399528,3.3947010000000004,3.490241,3.257318,3.386653,protein_coding,known,LOC104878977,equal
XLOC_000167,TCONS_00000317,31.296278000000004,30.067783000000002,29.187683000000003,33.416508,31.171745,28.126309999999997,37.460236,35.981327,38.043121,protein_coding,known,LOC100261208,equal
XLOC_000169,TCONS_00000318,9.46213,10.231467,9.749733,10.569633,11.195741,10.633083000000001,9.314841,7.733131,7.366242999999999,protein_coding,known,LOC100268066,equal
XLOC_000171,TCONS_00000319,9.233675999999999,3.8376449999999998,3.2811839999999997,2.391807,6.980287,3.736913,4.944397,3.59004,3.96264,protein_coding,known,LOC100260974,equal
XLOC_000179,TCONS_00000325,4.390529,4.630285,3.342913,1.482474,3.1533889999999998,3.183896,3.733575,4.208675,4.029631,protein_coding,known,LOC100259373,equal
XLOC_000180,TCONS_00000326,2.196657,1.25514,1.8833959999999998,1.030362,1.459955,1.4044510000000001,0.7114739999999999,2.2605779999999998,1.307994,protein_coding,known,LOC100249158,equal
XLOC_000183,TCONS_00000333,2.453292,2.6109139999999997,2.199425,0.9769260000000001,0.8643209999999999,1.089017,1.023816,1.180481,0.7151069999999999,protein_coding,known,LOC104878923,equal
XLOC_000190,TCONS_00000341,4.694666000000001,4.977892,4.64518,4.543585,3.9822839999999995,4.880466,5.362044999999999,4.636966,4.151332,protein_coding,known,LOC100250719,equal
XLOC_000195,TCONS_00000347,7.029196000000001,5.627177,6.666303999999999,8.095331,6.932532000000001,2.258604,7.501028999999999,8.985285000000001,7.916011999999999,protein_coding,known,LOC100242198,equal
XLOC_000196,TCONS_00000349,13.371416,16.073221,16.161942,14.708926000000002,14.013979,14.212423999999999,12.236382,15.084507,12.899199000000001,protein_coding,known,LOC100264480,equal
XLOC_000197,TCONS_00000351,1.317108,1.745041,3.3285129999999996,1.609165,1.157151,3.763521,1.4594719999999999,1.7529299999999999,4.379276,protein_coding,known,LOC100259365,equal
XLOC_000200,TCONS_00000356,6.359546,6.6402220000000005,6.57852,5.586475,4.9318029999999995,4.753074,7.4734869999999995,6.619317,6.484408,protein_coding,known,LOC100249149,equal
XLOC_000202,TCONS_00000359,22.236698,20.968929,23.620860999999998,22.607376000000002,24.798754000000002,21.078707,24.217216,22.099888,23.117271,protein_coding,known,LOC100254193,equal
XLOC_000207,TCONS_00000367,4.867357,2.581994,3.1742209999999997,3.8472980000000003,5.862343,5.692451,2.289679,2.479925,3.4425839999999996,protein_coding,known,LOC100266255,equal
XLOC_000207,TCONS_00000368,9.331316000000001,10.474852,10.379434,9.933238000000001,7.435124000000001,7.3232610000000005,10.436869999999999,9.779691999999999,9.510755,protein_coding,known,LOC100266255,equal
XLOC_000209,TCONS_00000369,10.314292,10.608715,9.283825,9.286589,8.783197,9.559109,8.053212,9.86856,7.282202000000001,protein_coding,novel,no_gene_id,u
XLOC_000210,TCONS_00000370,1.866571,1.38726,1.639523,1.9447029999999998,1.6378709999999999,0.9757969999999999,1.1344530000000002,1.438316,1.366482,protein_coding,novel,no_gene_id,u
XLOC_000212,TCONS_00000371,8.829562,8.790277,8.944474000000001,6.854398,7.268166000000001,6.815010000000001,6.899872,7.107984,6.956759,protein_coding,known,LOC100267996,equal
XLOC_000214,TCONS_00000373,10.007017,10.929877000000001,10.982864999999999,10.722303,11.111533,11.172779,10.03555,10.375481,10.598236,protein_coding,known,LOC100262904,equal
XLOC_000215,TCONS_00000374,17.098797,16.208658,17.471592,21.136855999999998,22.838778,23.807095,12.375791,12.736133,11.461209,protein_coding,known,LOC100257723,equal
XLOC_000216,TCONS_00000375,24.753432999999998,24.820971,23.175978,24.036362,23.75769,23.978579,25.656617999999998,25.128220000000002,24.661509,protein_coding,known,LOC100259509,equal
XLOC_000217,TCONS_00000376,3.4592769999999997,3.1136470000000003,4.151471,3.215353,3.729715,3.584447,2.8443,3.6561480000000004,2.6875310000000003,protein_coding,known,LOC100247480,equal
XLOC_000218,TCONS_00000378,18.206772,17.146637,17.367348,17.651964000000003,17.302208,18.523607000000002,17.359535,18.607807,16.438177,protein_coding,known,LOC100242343,equal
XLOC_000219,TCONS_00000379,27.907111999999998,27.965291999999998,27.188978000000002,16.28322,16.331132999999998,17.574617,29.82338,29.436272,28.736582000000002,protein_coding,known,LOC100259452,equal
XLOC_000223,TCONS_00000382,10.367681,10.937339,10.425049000000001,7.363027000000001,7.709169999999999,8.385935,10.689081,11.302652,9.538701,protein_coding,known,LOC100261197,equal
XLOC_000226,TCONS_00000383,79.653671,78.860512,75.4422,48.05579,49.649260999999996,55.157478000000005,90.180305,86.485023,87.15673100000001,protein_coding,known,LOC100262991,equal
XLOC_000227,TCONS_00000384,4.9169339999999995,4.6394720000000005,5.293079,6.561988,5.199395,8.013902,4.492788,4.585923,3.947164,protein_coding,known,LOC100256010,equal
XLOC_000228,TCONS_00000387,1.576176,1.35585,1.7515720000000001,0.716448,0.915942,0.6717529999999999,1.428748,1.207403,1.07114,protein_coding,known,LOC100252441,equal
XLOC_000230,TCONS_00000389,14.894909,12.122425999999999,13.896237,15.329951999999999,14.276182999999998,13.633733,13.204099,12.490406,12.95567,protein_coding,known,LOC100264474,equal
XLOC_000240,TCONS_00000396,2.4392139999999998,1.8854959999999998,2.386188,1.3948200000000002,1.0825129999999998,0.817209,1.9887130000000002,2.410181,2.6181080000000003,protein_coding,known,LOC100266396,equal
XLOC_000243,TCONS_00000398,1.6721979999999999,1.47157,1.640432,1.4658360000000001,1.638156,1.868134,0.9511850000000001,0.770807,1.124158,protein_coding,known,LOC100259502,equal
XLOC_000247,TCONS_00000400,4.567752,4.776273000000001,4.8446620000000005,5.897245,5.161002,5.321336,3.917722,5.425335,4.390912999999999,protein_coding,known,LOC100247470,equal
XLOC_000247,TCONS_00000401,2.16466,2.252654,1.850877,1.911713,1.578498,1.9082080000000001,2.977431,1.66565,2.499141,protein_coding,known,LOC100247470,equal
XLOC_000252,TCONS_00000403,10.963709,10.680242999999999,10.095962,8.585272999999999,7.67022,8.030856,10.223248,9.128815,8.396643,protein_coding,known,LOC100264527,equal
XLOC_000255,TCONS_00000405,10.216415,9.448692999999999,9.79226,12.243508,11.667645,10.17194,10.383703,10.323463,9.449649,protein_coding,known,LOC100256001,equal
XLOC_000256,TCONS_00000406,47.308102000000005,45.175076000000004,48.794540000000005,44.485512,41.512875,39.198853,33.66243,33.875748,34.116985,protein_coding,known,LOC100249231,equal
XLOC_000258,TCONS_00000407,5.0044260000000005,4.632696,5.751811,5.563139,4.916854,4.360415,4.842757,5.216342,4.492743,protein_coding,known,LOC100247313,equal
XLOC_000260,TCONS_00000408,21.764143,21.614014,22.198559,20.071861,19.786362,18.768513000000002,19.111168,17.878157,19.587626,protein_coding,known,LOC100262836,equal
XLOC_000261,TCONS_00000409,192.099716,202.629013,208.413208,159.332794,164.038895,158.352814,123.52015700000001,126.88001299999999,121.53324099999999,protein_coding,known,LOC100252628,equal
XLOC_000264,TCONS_00000412,2.620084,2.6272599999999997,2.6402,2.758269,2.609913,2.844014,3.250897,3.371001,4.40529,protein_coding,known,LOC100257715,equal
XLOC_000268,TCONS_00000427,18.06852,19.150745,19.759275,18.366446,20.62499,21.034351,17.373749,16.516945,16.677835,protein_coding,known,LOC100259291,equal
XLOC_000271,TCONS_00000430,1.105789,0.8936700000000001,2.2618240000000003,1.227055,2.322258,1.289417,1.6905419999999998,1.311741,1.912019,protein_coding,known,LOC100266454,equal
XLOC_000271,TCONS_00000431,0.6505449999999999,3.45568,1.234306,1.488661,0.155971,3.928817,1.438377,1.2530299999999999,1.531181,protein_coding,known,LOC100266454,equal
XLOC_000273,TCONS_00000434,0.391832,1.090423,3.650215,1.090768,0.9478139999999999,3.1343509999999997,2.4771799999999997,0.8816450000000001,3.14264,protein_coding,known,LOC100264466,equal
XLOC_000274,TCONS_00000435,1.314022,0.9536889999999999,1.2886549999999999,3.132837,0.43717,0.9792770000000001,1.494005,0.99665,0.617153,protein_coding,known,LOC100256160,equal
XLOC_000277,TCONS_00000438,7.510983,0.41447799999999996,8.519204,0.571562,6.513594,5.342695,0.003846,0.23954699999999998,11.689335,protein_coding,novel,no_gene_id,x
XLOC_000286,TCONS_00000444,0.744011,0.780199,1.302254,2.1624380000000003,1.379715,1.6308559999999999,0.9646309999999999,0.7239,1.0610030000000001,lncRNA,novel,no_gene_id,u
XLOC_000287,TCONS_00000445,208.860107,202.974701,207.099564,183.986481,193.81286599999999,203.763428,257.54702799999995,256.92627000000005,258.276672,protein_coding,known,LOC100267988,equal
XLOC_000288,TCONS_00000447,1.087069,1.6887900000000002,0.689237,1.159849,1.3731879999999999,1.088637,0.386287,1.000292,0.966167,protein_coding,known,LOC100264518,equal
XLOC_000290,TCONS_00000451,16.696672,17.353138,18.115847,19.337381,21.459309,18.833389,17.029514000000002,17.811923999999998,16.537596,protein_coding,known,LOC100259443,equal
XLOC_000294,TCONS_00000454,105.07066299999998,108.04985,112.556366,108.423126,106.55336000000001,106.18128999999999,129.87210100000001,125.687927,127.74636100000001,protein_coding,known,LOC100261031,equal
XLOC_000296,TCONS_00000456,22.533345999999998,23.374317,20.745110999999998,23.148092000000002,21.072165,23.047285000000002,23.93236,22.390631,21.313179,protein_coding,known,LOC100245656,equal
XLOC_000297,TCONS_00000457,5.302111,6.24381,0.284005,4.351262999999999,4.757308999999999,6.027794,12.648903,14.972273999999999,13.363242000000001,protein_coding,known,LOC100262828,equal
XLOC_000301,TCONS_00000462,4.038327,3.8509620000000004,4.41062,4.135778,4.898194999999999,3.856489,4.326225,3.255441,4.360059,protein_coding,known,LOC100252568,equal
XLOC_000303,TCONS_00000465,1.9445860000000001,2.70189,3.061087,1.111143,0.999187,1.2813290000000002,1.618258,1.5031450000000002,1.748557,protein_coding,known,LOC100259436,equal
XLOC_000304,TCONS_00000468,2.3935169999999997,2.008909,2.268039,2.683608,2.456276,2.449465,2.332455,2.7095759999999998,2.334611,protein_coding,known,LOC100245565,equal
XLOC_000305,TCONS_00000469,1.188396,1.209946,1.2309430000000001,0.910783,1.59689,1.024991,0.778017,4.061742,3.8531730000000004,protein_coding,known,LOC100254317,equal
XLOC_000306,TCONS_00000470,6.54007,6.070014,6.3304279999999995,4.750098,4.497426,4.321704,10.309341,9.930746000000001,9.676136,protein_coding,known,LOC100249220,equal
XLOC_000307,TCONS_00000471,4.6935519999999995,9.176708999999999,6.555882,4.2760370000000005,3.484886,2.6959470000000003,11.089935,7.923842999999999,9.439907,protein_coding,known,LOC100244049,equal
XLOC_000312,TCONS_00000480,24.232385999999998,25.773838,22.222808999999998,21.274977,22.261651999999998,22.030823,22.692377,20.9748,20.295881,protein_coding,known,MYBC2-L1,equal
XLOC_000313,TCONS_00000482,12.222613,12.195932,13.018171,10.384604,9.26479,9.076932000000001,10.142803,8.849209,9.585355,protein_coding,known,LOC100264511,equal
XLOC_000317,TCONS_00000484,11.294433,0.040309,0.182029,10.343081,10.662272,0.128218,0.26154099999999997,12.703281,13.545695000000002,lncRNA,known,LOC104881043,equal
XLOC_000318,TCONS_00000487,1.429934,1.3162479999999999,1.448374,2.147095,1.865287,2.134954,1.404919,1.498933,1.301814,protein_coding,novel,no_gene_id,x
XLOC_000319,TCONS_00000488,1.349229,2.212021,1.609572,1.740373,2.0950349999999998,1.8279509999999999,10.811235,10.889401,10.066673,protein_coding,known,LOC100261077,equal
XLOC_000321,TCONS_00000489,23.518148,23.731596,23.599510000000002,23.461363000000002,23.775938,21.754995,19.040743,18.209694,19.5753,protein_coding,novel,no_gene_id,o
XLOC_000327,TCONS_00000493,14.268873000000001,10.353069999999999,8.467083,13.238617999999999,5.972765,8.816483999999999,9.048630000000001,17.066983999999998,16.016289,protein_coding,known,LOC100262974,equal
XLOC_000327,TCONS_00000494,3.231898,1.9154099999999998,2.538767,0.997635,1.915729,2.699357,2.193336,1.2076440000000002,2.628341,protein_coding,novel,no_gene_id,o
XLOC_000330,TCONS_00000501,5.012973000000001,5.458336,5.19273,3.279408,3.6441800000000004,3.4110709999999997,10.553389,10.943197,11.333860000000001,protein_coding,known,LOC100264459,equal
XLOC_000331,TCONS_00000503,2.91776,3.4368839999999996,3.675956,2.411311,2.8666669999999996,1.979691,1.9048,2.919249,3.7137660000000006,protein_coding,known,LOC100259280,equal
XLOC_000332,TCONS_00000504,22.44376,21.767554999999998,22.932697,24.596011999999998,20.842717999999998,21.556564,24.470819,23.610939000000002,24.502968,protein_coding,known,LOC100254163,equal
XLOC_000336,TCONS_00000506,0.922689,0.942398,0.939707,1.840666,1.236665,0.8816069999999999,0.67796,1.111692,2.3846700000000003,protein_coding,known,LOC100257599,equal
XLOC_000337,TCONS_00000508,6.288404,7.441192999999999,7.529752,10.312544,9.812766,6.709036,4.12216,3.500981,3.594094,protein_coding,known,LOC100252471,equal
XLOC_000342,TCONS_00000512,1.883302,1.347337,1.73089,1.351431,1.350298,1.619356,1.106639,0.787022,1.196741,protein_coding,known,LOC100267971,equal
XLOC_000343,TCONS_00000513,79.056297,72.28138,115.184807,117.10273000000001,88.67693299999999,92.473648,105.400208,101.742416,177.38623,protein_coding,known,LOC100254219,equal
XLOC_000343,TCONS_00000514,32.827389000000004,20.252899,38.032215,50.302009999999996,46.410496,42.655788,16.96274,42.619007,69.094475,protein_coding,novel,no_gene_id,o
XLOC_000344,TCONS_00000517,16.334023000000002,15.665396,16.775713,23.157246,21.41593,19.604181,19.630028,21.363493,20.473685999999997,protein_coding,known,LOC100853085,equal
XLOC_000343,TCONS_00000518,106.08157299999999,108.51833300000001,138.844009,106.356247,86.61749300000001,131.738831,178.512848,136.159546,147.396729,protein_coding,known,LOC100262819,equal
XLOC_000352,TCONS_00000521,40.272919,38.626156,39.382496,40.750403999999996,38.435638,38.379971000000005,35.87104,34.665672,34.230427,protein_coding,known,LOC100247453,equal
