transcript_id_1	transcript_type	known_or_novel	gene_id	class_code
TCONS_00000244	protein_coding	known	LOC100250738	equal
TCONS_00000245	protein_coding	known	LOC100245605	equal
TCONS_00000250	protein_coding	known	LOC100262776	equal
TCONS_00000251	protein_coding	known	LOC100259316	equal
TCONS_00000253	protein_coding	known	LOC100257653	equal
TCONS_00000254	protein_coding	known	LOC100254202	equal
TCONS_00000256	protein_coding	known	LOC100249093	equal
TCONS_00000257	protein_coding	known	LOC100252517	equal
TCONS_00002550	protein_coding	known	LOC100243937	equal
TCONS_00000265	protein_coding	known	LOC100250897	equal
TCONS_00000272	protein_coding	known	LOC100268002	equal
TCONS_00000273	protein_coding	known	LOC100854077	equal
TCONS_00000274	protein_coding	known	LOC100262851	equal
TCONS_00000276	protein_coding	known	LOC100252595	equal
TCONS_00000286	protein_coding	known	LOC100242352	equal
TCONS_00000283	protein_coding	known	LOC100242352	equal
TCONS_00000288	protein_coding	known	LOC100242352	equal
TCONS_00000287	protein_coding	known	LOC100242352	equal
TCONS_00000285	protein_coding	known	LOC100242352	equal
TCONS_00000282	protein_coding	known	LOC100242352	equal
TCONS_00000291	protein_coding	known	LOC104878994	equal
TCONS_00000292	protein_coding	known	LOC104878992	equal
TCONS_00000293	protein_coding	known	LOC100259458	equal
TCONS_00000295	protein_coding	known	LOC100266180	equal
TCONS_00000303	protein_coding	known	LOC100254346	equal
TCONS_00000306	protein_coding	known	GS	equal
TCONS_00000309	protein_coding	known	LOC100247403	equal
TCONS_00000316	protein_coding	known	LOC104878977	equal
TCONS_00000317	protein_coding	known	LOC100261208	equal
TCONS_00000318	protein_coding	known	LOC100268066	equal
TCONS_00000319	protein_coding	known	LOC100260974	equal
TCONS_00004245	protein_coding	known	LOC100264548	equal
TCONS_00000325	protein_coding	known	LOC100259373	equal
TCONS_00000326	protein_coding	known	LOC100249158	equal
TCONS_00000333	protein_coding	known	LOC104878923	equal
TCONS_00000341	protein_coding	known	LOC100250719	equal
TCONS_00000347	protein_coding	known	LOC100242198	equal
TCONS_00000349	protein_coding	known	LOC100264480	equal
TCONS_00000351	protein_coding	known	LOC100259365	equal
TCONS_00000356	protein_coding	known	LOC100249149	equal
TCONS_00000359	protein_coding	known	LOC100254193	equal
TCONS_00000368	protein_coding	known	LOC100266255	equal
TCONS_00000367	protein_coding	known	LOC100266255	equal
TCONS_00000371	protein_coding	known	LOC100267996	equal
TCONS_00000373	protein_coding	known	LOC100262904	equal
TCONS_00000374	protein_coding	known	LOC100257723	equal
TCONS_00000375	protein_coding	known	LOC100259509	equal
TCONS_00000376	protein_coding	known	LOC100247480	equal
TCONS_00000378	protein_coding	known	LOC100242343	equal
TCONS_00000379	protein_coding	known	LOC100259452	equal
TCONS_00000382	protein_coding	known	LOC100261197	equal
TCONS_00000383	protein_coding	known	LOC100262991	equal
TCONS_00002595	protein_coding	known	LOC100256010	equal
TCONS_00002594	protein_coding	known	LOC100256010	equal
TCONS_00000384	protein_coding	known	LOC100256010	equal
TCONS_00000387	protein_coding	known	LOC100252441	equal
TCONS_00000389	protein_coding	known	LOC100264474	equal
TCONS_00000396	protein_coding	known	LOC100266396	equal
TCONS_00000398	protein_coding	known	LOC100259502	equal
TCONS_00000401	protein_coding	known	LOC100247470	equal
TCONS_00000400	protein_coding	known	LOC100247470	equal
TCONS_00000403	protein_coding	known	LOC100264527	equal
TCONS_00000405	protein_coding	known	LOC100256001	equal
TCONS_00000406	protein_coding	known	LOC100249231	equal
TCONS_00000407	protein_coding	known	LOC100247313	equal
TCONS_00000408	protein_coding	known	LOC100262836	equal
TCONS_00000409	protein_coding	known	LOC100252628	equal
TCONS_00000412	protein_coding	known	LOC100257715	equal
TCONS_00007431	protein_coding	known	LOC100254175	equal
TCONS_00003493	protein_coding	known	LOC100242178	equal
TCONS_00000427	protein_coding	known	LOC100259291	equal
TCONS_00000430	protein_coding	known	LOC100266454	equal
TCONS_00000431	protein_coding	known	LOC100266454	equal
TCONS_00000434	protein_coding	known	LOC100264466	equal
TCONS_00000435	protein_coding	known	LOC100256160	equal
TCONS_00000445	protein_coding	known	LOC100267988	equal
TCONS_00000447	protein_coding	known	LOC100264518	equal
TCONS_00000451	protein_coding	known	LOC100259443	equal
TCONS_00000454	protein_coding	known	LOC100261031	equal
TCONS_00000456	protein_coding	known	LOC100245656	equal
TCONS_00000457	protein_coding	known	LOC100262828	equal
TCONS_00000462	protein_coding	known	LOC100252568	equal
TCONS_00000465	protein_coding	known	LOC100259436	equal
TCONS_00000468	protein_coding	known	LOC100245565	equal
TCONS_00000469	protein_coding	known	LOC100254317	equal
TCONS_00000470	protein_coding	known	LOC100249220	equal
TCONS_00000471	protein_coding	known	LOC100244049	equal
TCONS_00000480	protein_coding	known	MYBC2-L1	equal
TCONS_00000482	protein_coding	known	LOC100264511	equal
TCONS_00000488	protein_coding	known	LOC100261077	equal
TCONS_00000493	protein_coding	known	LOC100262974	equal
TCONS_00000501	protein_coding	known	LOC100264459	equal
TCONS_00000503	protein_coding	known	LOC100259280	equal
TCONS_00000504	protein_coding	known	LOC100254163	equal
TCONS_00000506	protein_coding	known	LOC100257599	equal
TCONS_00000508	protein_coding	known	LOC100252471	equal
TCONS_00000512	protein_coding	known	LOC100267971	equal
TCONS_00000513	protein_coding	known	LOC100254219	equal
TCONS_00000518	protein_coding	known	LOC100262819	equal
TCONS_00000517	protein_coding	known	LOC100853085	equal
TCONS_00000521	protein_coding	known	LOC100247453	equal
TCONS_00000524	protein_coding	known	LOC100264607	equal
TCONS_00000525	protein_coding	known	LOC100255981	equal
TCONS_00000528	protein_coding	known	LOC100254309	equal
TCONS_00000529	protein_coding	known	LOC100268019	equal
TCONS_00000530	protein_coding	known	LOC100249212	equal
TCONS_00000531	protein_coding	known	LOC100244042	equal
TCONS_00000533	protein_coding	known	LOC100266376	equal
TCONS_00000536	protein_coding	known	LOC100261170	equal
TCONS_00002658	protein_coding	known	LOC100266435	equal
TCONS_00000541	protein_coding	known	LOC100250939	equal
TCONS_00000542	protein_coding	known	LOC100245790	equal
TCONS_00000543	protein_coding	known	LOC100268116	equal
TCONS_00000546	protein_coding	known	LOC100262719	equal
TCONS_00000544	protein_coding	known	LOC100262719	equal
TCONS_00000548	protein_coding	known	LOC100259272	equal
TCONS_00006880	protein_coding	known	LOC109122513	equal
TCONS_00000551	protein_coding	known	LOC100249051	equal
TCONS_00000554	protein_coding	known	LOC100266270	equal
TCONS_00000562	protein_coding	known	LOC100266222	equal
TCONS_00000563	protein_coding	known	LOC100250832	equal
TCONS_00000564	protein_coding	known	LOC100852609	equal
TCONS_00000565	protein_coding	known	LOC100245641	equal
TCONS_00000569	protein_coding	known	LOC100262811	equal
TCONS_00000572	protein_coding	known	LOC100245838	equal
TCONS_00000579	protein_coding	known	LOC100259425	equal
TCONS_00000582	protein_coding	known	LOC100249205	equal
TCONS_00000581	protein_coding	known	LOC100249205	equal
TCONS_00000583	protein_coding	known	LOC100245684	equal
TCONS_00000586	protein_coding	known	LOC100266368	equal
TCONS_00000587	protein_coding	known	LOC100252594	equal
TCONS_00000597	protein_coding	known	LOC100264632	equal
TCONS_00000599	protein_coding	known	LOC100262958	equal
TCONS_00000601	protein_coding	known	LOC100249044	equal
TCONS_00000602	protein_coding	known	SOS1	equal
TCONS_00000603	protein_coding	known	LOC100255930	equal
TCONS_00000604	protein_coding	known	LOC100250769	equal
TCONS_00000611	protein_coding	known	LOC100245635	equal
TCONS_00000614	protein_coding	known	LOC100257722	equal
TCONS_00000616	protein_coding	known	LOC100257681	equal
TCONS_00000617	protein_coding	known	LOC104879533	equal
TCONS_00000618	protein_coding	known	LOC100256113	equal
TCONS_00006293	protein_coding	known	LOC100247438	equal
TCONS_00000621	protein_coding	known	LOC100247438	equal
TCONS_00000620	protein_coding	known	LOC100247438	equal
TCONS_00000622	protein_coding	known	LOC100242302	equal
TCONS_00000624	protein_coding	known	LOC100257862	equal
TCONS_00000636	protein_coding	known	LOC100250807	equal
TCONS_00000637	protein_coding	known	LOC100249199	equal
TCONS_00007482	protein_coding	known	LOC100266362	equal
TCONS_00000647	protein_coding	known	LOC100268099	equal
TCONS_00000651	protein_coding	known	LOC100262951	equal
TCONS_00000652	protein_coding	known	LOC100257824	equal
TCONS_00000653	protein_coding	known	LOC100245809	equal
TCONS_00000654	protein_coding	known	LOC100262984	equal
TCONS_00000657	protein_coding	known	LOC100252679	equal
TCONS_00000659	protein_coding	known	LOC100242447	equal
TCONS_00000660	protein_coding	known	LOC100264440	equal
TCONS_00000661	protein_coding	known	LOC100259265	equal
TCONS_00000662	protein_coding	known	LOC100264465	equal
TCONS_00000663	protein_coding	known	LOC100249068	equal
TCONS_00000666	protein_coding	known	LOC100243914	equal
TCONS_00000675	protein_coding	known	LOC100260250	equal
TCONS_00000687	protein_coding	known	LOC100265371	equal
TCONS_00000688	protein_coding	known	LOC100248199	equal
TCONS_00002701	protein_coding	known	LOC100263616	equal
TCONS_00000693	protein_coding	known	LOC100241353	equal
TCONS_00000694	protein_coding	known	LOC100253421	equal
TCONS_00000696	protein_coding	known	LOC100246470	equal
TCONS_00002705	protein_coding	known	LOC100263708	equal
TCONS_00000701	protein_coding	known	LOC100263708	equal
TCONS_00000700	protein_coding	known	LOC100263708	equal
TCONS_00000706	protein_coding	known	LOC100243082	equal
TCONS_00000707	protein_coding	known	LOC100255079	equal
TCONS_00000708	protein_coding	known	LOC100260266	equal
TCONS_00000709	protein_coding	known	LOC100258468	equal
TCONS_00000713	protein_coding	known	LOC104879596	equal
TCONS_00000714	protein_coding	known	LOC100852765	equal
TCONS_00000715	protein_coding	known	LOC100852726	equal
TCONS_00007497	protein_coding	known	LOC100852632	equal
TCONS_00000716	protein_coding	known	LOC100852632	equal
TCONS_00000717	protein_coding	known	LOC100265381	equal
TCONS_00000720	protein_coding	known	LOC100258559	equal
TCONS_00000730	protein_coding	known	LOC100260455	equal
TCONS_00000731	protein_coding	known	LOC104880034	equal
TCONS_00000738	protein_coding	known	LOC100263874	equal
TCONS_00000737	protein_coding	known	LOC100263874	equal
TCONS_00000741	protein_coding	known	LOC100248463	equal
TCONS_00000742	protein_coding	known	LOC100245071	equal
TCONS_00000743	protein_coding	known	LOC100257112	equal
TCONS_00000746	protein_coding	known	LOC100257092	equal
TCONS_00000748	protein_coding	known	LOC100251966	equal
TCONS_00000750	protein_coding	known	LOC100246842	equal
TCONS_00000752	protein_coding	known	LOC104879994	equal
TCONS_00000756	protein_coding	known	LOC100243227	equal
TCONS_00000755	protein_coding	known	LOC100243227	equal
TCONS_00000758	protein_coding	known	LOC100265542	equal
TCONS_00000767	protein_coding	known	LOC100253486	equal
TCONS_00000775	protein_coding	known	LOC100258814	equal
TCONS_00000776	protein_coding	known	LOC100260341	equal
TCONS_00000779	protein_coding	known	LOC100260319	equal
TCONS_00000789	protein_coding	known	LOC100246722	equal
TCONS_00000792	protein_coding	known	LOC100241586	equal
TCONS_00000795	protein_coding	known	LOC100263979	equal
TCONS_00000803	protein_coding	known	LOC100260313	equal
TCONS_00000804	protein_coding	known	LOC100258721	equal
TCONS_00000805	protein_coding	known	LOC100253576	equal
TCONS_00000806	protein_coding	known	LOC100262086	equal
TCONS_00000807	protein_coding	known	LOC100248470	equal
TCONS_00000816	protein_coding	known	LOC100263854	equal
TCONS_00000817	protein_coding	known	LOC100243345	equal
TCONS_00000820	protein_coding	known	LOC100260447	equal
TCONS_00000827	protein_coding	known	LOC100245065	equal
TCONS_00000829	protein_coding	known	LOC100262208	equal
TCONS_00000830	protein_coding	known	LOC100262208	equal
TCONS_00004360	protein_coding	known	LOC100257102	equal
TCONS_00000838	protein_coding	known	LOC100251972	equal
TCONS_00000841	protein_coding	known	LOC100251843	equal
TCONS_00000846	protein_coding	known	LOC100853229	equal
TCONS_00000848	protein_coding	known	LOC100853141	equal
TCONS_00000849	protein_coding	known	LOC100258696	equal
TCONS_00000852	protein_coding	known	LOC100263771	equal
TCONS_00000853	protein_coding	known	LOC100253479	equal
TCONS_00000856	protein_coding	known	LOC100253653	equal
TCONS_00000857	protein_coding	known	UBC2	equal
TCONS_00006971	protein_coding	known	UBC2	equal
TCONS_00000859	protein_coding	known	LOC100267340	equal
TCONS_00000862	protein_coding	known	LOC100258453	equal
TCONS_00000872	protein_coding	known	LOC100262017	equal
TCONS_00000875	protein_coding	known	LOC100244878	equal
TCONS_00000874	protein_coding	known	LOC100244878	equal
TCONS_00000878	protein_coding	known	LOC100265464	equal
TCONS_00000880	protein_coding	known	LOC100853470	equal
TCONS_00000881	protein_coding	known	LOC100248279	equal
TCONS_00000886	protein_coding	known	LOC100251779	equal
TCONS_00000890	protein_coding	known	LOC100241425	equal
TCONS_00000895	protein_coding	known	LOC100267103	equal
TCONS_00005117	protein_coding	known	LOC100244775	equal
TCONS_00000903	protein_coding	known	LOC100255065	equal
TCONS_00000905	protein_coding	known	LOC100265355	equal
TCONS_00000906	protein_coding	known	LOC100248178	equal
TCONS_00004387	protein_coding	known	LOC100265365	equal
TCONS_00003660	protein_coding	known	LOC100265365	equal
TCONS_00000916	protein_coding	known	LOC100248185	equal
TCONS_00000921	protein_coding	known	LOC100263686	equal
TCONS_00000927	protein_coding	known	LOC100254024	equal
TCONS_00000929	protein_coding	known	LOC100248804	equal
TCONS_00000931	protein_coding	known	LOC100259152	equal
TCONS_00000932	protein_coding	known	LOC100264328	equal
TCONS_00000936	protein_coding	known	LOC100242045	equal
TCONS_00000939	protein_coding	known	LOC100247184	equal
TCONS_00000949	protein_coding	known	LOC100251363	equal
TCONS_00000950	protein_coding	known	LOC100249622	equal
TCONS_00000960	protein_coding	known	LOC100258240	equal
TCONS_00000962	protein_coding	known	LOC100253113	equal
TCONS_00000968	protein_coding	known	LOC100242747	equal
TCONS_00000976	protein_coding	known	LOC100247983	equal
TCONS_00000983	protein_coding	known	LOC100264968	equal
TCONS_00000984	protein_coding	known	LOC100263361	equal
TCONS_00000986	protein_coding	known	LOC100258226	equal
TCONS_00000987	protein_coding	known	LOC100253093	equal
TCONS_00000988	protein_coding	known	LOC100254648	equal
TCONS_00001004	protein_coding	known	LOC100253004	equal
TCONS_00001010	protein_coding	known	SAMDC	equal
TCONS_00001011	protein_coding	known	LOC100249555	equal
TCONS_00001014	protein_coding	known	LOC100241027	equal
TCONS_00001015	protein_coding	known	LOC100249684	equal
TCONS_00001016	protein_coding	known	LOC100244373	equal
TCONS_00001018	protein_coding	known	LOC100253025	equal
TCONS_00001020	protein_coding	known	LOC100247903	equal
TCONS_00001021	protein_coding	known	LOC100247878	equal
TCONS_00001029	protein_coding	known	LOC100254722	equal
TCONS_00001032	protein_coding	known	LOC100244449	equal
TCONS_00001040	protein_coding	known	LOC104880233	equal
TCONS_00001051	protein_coding	known	LOC100254716	equal
TCONS_00001057	protein_coding	known	LOC100251322	equal
TCONS_00003715	protein_coding	known	LOC100251322	equal
TCONS_00001061	protein_coding	known	LOC104880250	equal
TCONS_00001065	protein_coding	known	LOC100854940	equal
TCONS_00001069	protein_coding	known	LOC100852583	equal
TCONS_00001072	protein_coding	known	LOC100248212	equal
TCONS_00001081	protein_coding	known	LOC100256233	equal
TCONS_00001082	protein_coding	known	LOC100240845	equal
TCONS_00001084	protein_coding	known	LOC100252853	equal
TCONS_00001085	protein_coding	known	LOC100257993	equal
TCONS_00001086	protein_coding	known	LOC100264763	equal
TCONS_00003721	protein_coding	known	LOC100264763	equal
TCONS_00001088	protein_coding	known	LOC100245965	equal
TCONS_00001091	protein_coding	known	LOC100246057	equal
TCONS_00001092	protein_coding	known	LOC100251099	equal
TCONS_00001093	protein_coding	known	LOC100256260	equal
TCONS_00001095	protein_coding	known	LOC100261354	equal
TCONS_00001103	protein_coding	known	LOC100244217	equal
TCONS_00001105	protein_coding	known	LOC100266542	equal
TCONS_00001107	protein_coding	known	LOC100244197	equal
TCONS_00001106	protein_coding	known	LOC100244197	equal
TCONS_00001109	protein_coding	known	LOC100249383	equal
TCONS_00001108	protein_coding	known	LOC100249383	equal
TCONS_00001111	protein_coding	known	LOC100264789	equal
TCONS_00001116	protein_coding	known	LOC100242500	equal
TCONS_00001115	protein_coding	known	LOC100242500	equal
TCONS_00001117	protein_coding	known	LOC100242500	equal
TCONS_00001120	protein_coding	known	LOC100251202	equal
TCONS_00001126	protein_coding	known	LOC100249470	equal
TCONS_00001128	protein_coding	known	LOC100257887	equal
TCONS_00001131	protein_coding	known	LOC100266547	equal
TCONS_00001134	protein_coding	known	LOC100254476	equal
TCONS_00005832	protein_coding	known	LOC100252727	equal
TCONS_00002883	protein_coding	known	LOC100257876	equal
TCONS_00001142	protein_coding	known	LOC100261458	equal
TCONS_00001146	protein_coding	known	LOC100261447	equal
TCONS_00001145	protein_coding	known	LOC100261447	equal
TCONS_00001147	protein_coding	known	LOC100254597	equal
TCONS_00001148	protein_coding	known	LOC100254597	equal
TCONS_00001162	protein_coding	known	LOC100264375	equal
TCONS_00001164	protein_coding	known	LOC100247229	equal
TCONS_00001175	protein_coding	known	LOC100259084	equal
TCONS_00001190	protein_coding	known	LOC100260936	equal
TCONS_00001191	protein_coding	known	LOC100248862	equal
TCONS_00001192	protein_coding	known	LOC100259092	equal
TCONS_00001193	protein_coding	known	LOC100264264	equal
TCONS_00001194	protein_coding	known	LOC100242085	equal
TCONS_00001204	protein_coding	known	LOC100247122	equal
TCONS_00001205	protein_coding	known	LOC100252245	equal
TCONS_00001208	protein_coding	known	LOC100852958	equal
TCONS_00001214	protein_coding	known	LOC100259208	equal
TCONS_00005845	protein_coding	known	LOC109121405	equal
TCONS_00001219	protein_coding	known	LOC100259104	equal
TCONS_00001222	protein_coding	known	LOC100253968	equal
TCONS_00001223	protein_coding	known	LOC100243734	equal
TCONS_00001225	protein_coding	known	LOC100260846	equal
TCONS_00001232	protein_coding	known	LOC100267681	equal
TCONS_00001233	protein_coding	known	LOC100245367	equal
TCONS_00001234	protein_coding	known	LOC100854734	equal
TCONS_00001235	protein_coding	known	LOC100250497	equal
TCONS_00001236	protein_coding	known	LOC100255676	equal
TCONS_00001239	protein_coding	known	LOC100254113	equal
TCONS_00001241	protein_coding	known	LOC100249010	equal
TCONS_00001242	protein_coding	known	LOC100259233	equal
TCONS_00001246	protein_coding	known	LOC100264409	equal
TCONS_00001245	protein_coding	known	LOC100264409	equal
TCONS_00001255	protein_coding	known	LOC100247256	equal
TCONS_00001256	protein_coding	known	LOC100255789	equal
TCONS_00001262	protein_coding	known	LOC104880872	equal
TCONS_00001264	protein_coding	known	LOC100248984	equal
TCONS_00003768	protein_coding	known	LOC100260954	equal
TCONS_00001272	protein_coding	known	LOC100255660	equal
TCONS_00001275	protein_coding	known	LOC100245345	equal
TCONS_00001277	protein_coding	known	LOC100262502	equal
TCONS_00001278	protein_coding	known	LOC100257494	equal
TCONS_00001280	protein_coding	known	LOC100852698	equal
TCONS_00001281	protein_coding	known	LOC100247241	equal
TCONS_00001282	protein_coding	known	LOC100257384	equal
TCONS_00001288	protein_coding	known	LOC100259213	equal
TCONS_00002946	protein_coding	known	LOC100259213	equal
TCONS_00001293	protein_coding	known	LOC100248991	equal
TCONS_00001295	protein_coding	known	LOC100243843	equal
TCONS_00001304	protein_coding	known	LOC100266163	equal
TCONS_00001305	protein_coding	known	LOC100260960	equal
TCONS_00001307	protein_coding	known	LOC100250485	equal
TCONS_00001308	protein_coding	known	LOC100232906	equal
TCONS_00001313	protein_coding	known	LOC100262509	equal
TCONS_00001315	protein_coding	known	LOC100241995	equal
TCONS_00002954	protein_coding	known	LOC100266149	equal
TCONS_00001316	protein_coding	known	LOC100260946	equal
TCONS_00001318	protein_coding	known	LOC104879282	equal
TCONS_00002956	protein_coding	known	LOC100254292	equal
TCONS_00001319	protein_coding	known	LOC100254292	equal
TCONS_00001320	protein_coding	known	LOC100254361	equal
TCONS_00001322	protein_coding	known	LOC100232936	equal
TCONS_00001323	protein_coding	known	LOC100256140	equal
TCONS_00001329	protein_coding	known	LOC100245849	equal
TCONS_00001328	protein_coding	known	LOC100245849	equal
TCONS_00001333	protein_coding	known	LOC100259261	equal
TCONS_00002960	protein_coding	known	LOC100267868	equal
TCONS_00001334	protein_coding	known	LOC100267868	equal
TCONS_00001339	protein_coding	known	LOC100257592	equal
TCONS_00001345	protein_coding	known	LOC100854554	equal
TCONS_00001347	protein_coding	known	LOC100257668	equal
TCONS_00001348	protein_coding	known	LOC100252537	equal
TCONS_00002966	protein_coding	known	LOC100854391	equal
TCONS_00001351	protein_coding	known	LOC100247428	equal
TCONS_00002971	protein_coding	known	LOC100252466	equal
TCONS_00001358	protein_coding	known	LOC100252466	equal
TCONS_00001357	protein_coding	known	LOC100252466	equal
TCONS_00002970	protein_coding	known	LOC100252466	equal
TCONS_00001360	protein_coding	known	LOC100247350	equal
TCONS_00001361	protein_coding	known	LOC100242217	equal
TCONS_00001365	protein_coding	known	LOC100254211	equal
TCONS_00001366	protein_coding	known	LOC100243945	equal
TCONS_00001368	protein_coding	known	LOC100262937	equal
TCONS_00001370	protein_coding	known	LOC100257811	equal
TCONS_00004549	protein_coding	known	LOC100245694	equal
TCONS_00001374	protein_coding	known	LOC100245694	equal
TCONS_00001375	protein_coding	known	LOC100259545	equal
TCONS_00004550	protein_coding	known	LOC100262861	equal
TCONS_00001380	protein_coding	known	LOC104879181	equal
TCONS_00001382	protein_coding	known	LOC100247562	equal
TCONS_00001384	protein_coding	known	LOC104877428	equal
TCONS_00001386	protein_coding	known	LOC100254353	equal
TCONS_00001389	protein_coding	known	LOC100249255	equal
TCONS_00001395	protein_coding	known	LOC100244086	equal
TCONS_00001398	protein_coding	known	LOC100266425	equal
TCONS_00001396	protein_coding	known	LOC100266425	equal
TCONS_00001402	protein_coding	known	LOC109121469	equal
TCONS_00001403	protein_coding	known	LOC100247417	equal
TCONS_00001406	protein_coding	known	LOC100245839	equal
TCONS_00001408	protein_coding	known	LOC100254274	equal
TCONS_00001409	protein_coding	known	LOC100855197	equal
TCONS_00001411	protein_coding	known	LOC100266338	equal
TCONS_00001418	protein_coding	known	LOC100245755	equal
TCONS_00002996	protein_coding	known	LOC100262925	equal
TCONS_00001419	protein_coding	known	LOC100262925	equal
TCONS_00001421	protein_coding	known	LOC100247555	equal
TCONS_00007128	protein_coding	known	LOC100247555	equal
TCONS_00001422	protein_coding	known	LOC100264706	equal
TCONS_00001426	protein_coding	known	LOC100242206	equal
TCONS_00001427	protein_coding	known	LOC100264488	equal
TCONS_00001429	protein_coding	known	LOC100249170	equal
TCONS_00003804	protein_coding	known	LOC100249170	equal
TCONS_00001431	protein_coding	known	LOC100261052	equal
TCONS_00001432	protein_coding	known	LOC100255965	equal
TCONS_00001433	protein_coding	known	LOC100250825	equal
TCONS_00001434	protein_coding	known	LOC100250825	equal
TCONS_00003011	protein_coding	known	LOC100247487	equal
TCONS_00001456	protein_coding	known	LOC100249303	equal
TCONS_00001455	protein_coding	known	LOC100249303	equal
TCONS_00001459	protein_coding	known	LOC100250730	equal
TCONS_00001460	protein_coding	known	LOC100245596	equal
TCONS_00003015	protein_coding	known	LOC100262769	equal
TCONS_00001463	protein_coding	known	LOC100257645	equal
TCONS_00001466	protein_coding	known	LOC100254261	equal
TCONS_00001467	protein_coding	known	LOC100249161	equal
TCONS_00001481	protein_coding	known	LOC100256123	equal
TCONS_00001482	protein_coding	known	LOC100250970	equal
TCONS_00001496	protein_coding	known	LOC100247335	equal
TCONS_00001497	protein_coding	known	LOC100247391	equal
TCONS_00001504	protein_coding	known	LAR1	equal
TCONS_00001509	protein_coding	known	LOC100261046	equal
TCONS_00001510	protein_coding	known	LOC100255959	equal
TCONS_00001511	protein_coding	known	LOC100245676	equal
TCONS_00001517	protein_coding	known	LOC100247534	equal
TCONS_00001520	protein_coding	known	LOC100252587	equal
TCONS_00001524	protein_coding	known	LOC100264625	equal
TCONS_00001526	protein_coding	known	LOC100254337	equal
TCONS_00001530	protein_coding	known	LOC100244069	equal
TCONS_00001531	protein_coding	known	LOC100250710	equal
TCONS_00001537	protein_coding	known	LOC100252495	equal
TCONS_00001545	protein_coding	known	LOC100266408	equal
TCONS_00001544	protein_coding	known	LOC100266408	equal
TCONS_00001546	protein_coding	known	LOC100242253	equal
TCONS_00001549	protein_coding	known	LOC100250961	equal
TCONS_00001551	protein_coding	known	LOC100245820	equal
TCONS_00001553	protein_coding	known	LOC100268142	equal
TCONS_00001554	protein_coding	known	LOC100249140	equal
TCONS_00001555	protein_coding	known	LOC100243974	equal
TCONS_00001558	protein_coding	known	LOC100242187	equal
TCONS_00001563	protein_coding	known	LOC100249076	equal
TCONS_00001564	protein_coding	known	LOC100243921	equal
TCONS_00001565	protein_coding	known	LOC100266248	equal
TCONS_00001566	protein_coding	known	LOC100268043	equal
TCONS_00001567	protein_coding	known	LOC100261039	equal
TCONS_00001568	protein_coding	known	LOC100255956	equal
TCONS_00001571	protein_coding	known	LOC100244058	equal
TCONS_00001572	protein_coding	known	LOC100249069	equal
TCONS_00001577	protein_coding	known	LOC100252432	equal
TCONS_00001576	protein_coding	known	LOC100268132	equal
TCONS_00001589	protein_coding	known	LOC100244117	equal
TCONS_00001595	protein_coding	known	LOC100255880	equal
TCONS_00001596	protein_coding	known	LOC100267893	equal
TCONS_00005936	protein_coding	known	LOC100242244	equal
TCONS_00001604	protein_coding	known	LOC100256104	equal
TCONS_00001609	protein_coding	known	LOC100243915	equal
TCONS_00001611	protein_coding	known	LOC100264619	equal
